Stage,Model,Threshold,Accuracy (%),Balanced Accuracy (%),Precision (%),Recall (%),Specificity (%),F1 Score (%),ROC-AUC (%),PR-AUC (%),True Negatives,True Positives,False Negatives,False Positives
Notebook 6 - Threshold Tuning,Best Tuned HistGradientBoosting,0.45,54.61073825503355,62.39270405590376,16.18996940268724,72.44047619047619,52.34493192133132,26.46515167989561,67.59488239319933,23.93743111456093,6920,1217,463,6300
Notebook 6 - Threshold Tuning,Best Tuned CatBoost,0.45,56.0469798657718,62.344751819033206,16.36037031919303,70.47619047619048,54.213313161875945,26.556016597510368,67.8097714501837,23.66648139943239,7167,1184,496,6053
Notebook 6 - Threshold Tuning,Best Tuned XGBoost,0.45,56.69127516778524,62.34412146098984,16.448755799240818,69.64285714285714,55.04538577912255,26.61207778915046,68.07144433037966,24.111963549602137,7277,1170,510,5943
Notebook 6 - Tuned Models,Best Imbalance-Focused Model,0.5,62.22147651006711,62.70675743822491,17.50863913115024,63.33333333333333,62.08018154311649,27.43328606420008,67.12971417765291,21.36127090139082,8207,1064,616,5013
Notebook 4 - Baselines,Decision Tree - Class Weighted,0.5,63.03355704697987,61.65757150061235,17.22602739726027,59.88095238095238,63.43419062027231,26.75531914893617,65.68528924429076,20.796860450897768,8386,1006,674,4834
Notebook 5 - Candidates,XGBoost - Scale Pos Weight,0.5,65.81208053691276,63.06750234132987,18.47063169560399,59.523809523809526,66.61119515885022,28.1928390188892,68.00352775376413,23.7324518062469,8806,1000,680,4414
Notebook 5 - Candidates,CatBoost - Native Categoricals,0.5,66.05369127516778,63.04778113968735,18.52404025344763,59.16666666666666,66.92889561270802,28.21458983820608,67.8097714501837,23.66648139943239,8848,994,686,4372
Notebook 6 - Tuned Models,Best Tuned CatBoost,0.5,66.05369127516778,63.04778113968735,18.52404025344763,59.16666666666666,66.92889561270802,28.21458983820608,67.8097714501837,23.66648139943239,8848,994,686,4372
Notebook 6 - Tuned Models,Best Tuned HistGradientBoosting,0.5,65.73825503355705,62.87002017145738,18.36319970441529,59.16666666666666,66.57337367624811,28.02763287748484,67.59488239319933,23.93743111456093,8801,994,686,4419
Notebook 5 - Candidates,Random Forest - Class Weighted,0.5,64.95302013422818,62.37554931200921,17.95150199058993,59.04761904761905,65.70347957639939,27.53261171246183,67.16942223182768,21.74853210582954,8686,992,688,4534
Notebook 6 - Tuned Models,Best Tuned XGBoost,0.5,66.55704697986577,63.14958396369138,18.703808982376348,58.75,67.54916792738275,28.3742992669254,68.07144433037966,24.111963549602137,8930,987,693,4290
Notebook 5 - Candidates,HistGradientBoosting - Balanced Weights,0.5,65.71140939597315,62.56911425689792,18.22057460611677,58.511904761904766,66.62632375189106,27.78798586572438,67.66148422303868,23.96216175595384,8808,983,697,4412
Notebook 5 - Candidates,Extra Trees - Class Weighted,0.5,63.45637583892617,61.090474389453206,17.06036745406824,58.03571428571429,64.14523449319213,26.369168356997967,65.63857070816223,20.93029980855502,8480,975,705,4740
Notebook 4 - Baselines,Logistic Regression - Class Weighted,0.5,66.97986577181209,62.010932209495,18.28504306969459,55.595238095238095,68.42662632375189,27.519151443724223,66.93989986312225,22.59181883594484,9046,934,746,4174
Notebook 6 - Threshold Tuning,Best Tuned XGBoost,0.55,74.7248322147651,62.348669044017,21.37760702524698,46.36904761904762,78.32829046898638,29.26371149511645,68.07144433037966,24.111963549602137,10355,779,901,2865
