model,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc,negative_predictive_value,predicted_positive_rate,true_negatives,false_positives,false_negatives,true_positives,threshold,alerts_per_100_patients,missed_readmissions_per_100_actual_readmissions
Best Tuned XGBoost,0.14315436241610738,0.5132361681435055,0.1154886592217521,0.9910714285714286,0.03540090771558245,0.20687084549916132,0.6807144433037966,0.24111963549602147,0.968944099378882,0.9675838926174497,468,12752,15,1665,0.2,96.75838926174497,0.8928571428571397
Best Tuned XGBoost,0.19516778523489933,0.5365724731647575,0.12077081494557222,0.9773809523809524,0.09576399394856279,0.21497774286462426,0.6807144433037966,0.24111963549602147,0.9708588957055214,0.9124832214765101,1266,11954,38,1642,0.25,91.24832214765101,2.261904761904765
Best Tuned XGBoost,0.27120805369127515,0.5601991931417045,0.127324401136825,0.9333333333333333,0.18706505295007564,0.2240800285816363,0.6807144433037966,0.24111963549602147,0.9566731141199226,0.8265100671140939,2473,10747,112,1568,0.3,82.6510067114094,6.666666666666665
Best Tuned XGBoost,0.36308724832214767,0.5857372487572942,0.13654132539091585,0.8732142857142857,0.2982602118003026,0.23615582743077915,0.6807144433037966,0.24111963549602147,0.9487487969201155,0.7210738255033557,3943,9277,213,1467,0.35,72.10738255033557,12.678571428571427
Best Tuned XGBoost,0.466510067114094,0.6115454578200418,0.14989389031609515,0.7988095238095239,0.42428139183055974,0.2524217060095928,0.6807144433037966,0.24111963549602147,0.9431646208172187,0.6008724832214765,5609,7611,338,1342,0.4,60.087248322147644,20.119047619047613
Best Tuned XGBoost,0.5669127516778524,0.6234412146098984,0.16448755799240827,0.6964285714285714,0.5504538577912255,0.2661207778915046,0.6807144433037966,0.24111963549602147,0.9345062283292668,0.4773825503355705,7277,5943,510,1170,0.45,47.738255033557046,30.35714285714286
Best Tuned XGBoost,0.6655704697986577,0.6314958396369138,0.1870380898237635,0.5875,0.6754916792738276,0.283742992669254,0.6807144433037966,0.24111963549602147,0.9279850358516055,0.3541610738255034,8930,4290,693,987,0.5,35.41610738255034,41.25
Best Tuned XGBoost,0.747248322147651,0.62348669044017,0.2137760702524698,0.4636904761904762,0.7832829046898638,0.2926371149511645,0.6807144433037966,0.24111963549602147,0.9199538024164889,0.24456375838926175,10355,2865,901,779,0.55,24.456375838926174,53.63095238095238
Best Tuned XGBoost,0.8075167785234899,0.6010743102081982,0.2430795847750865,0.3345238095238095,0.867624810892587,0.281563126252505,0.6807144433037966,0.24111963549602147,0.9111852557991739,0.15516778523489932,11470,1750,1118,562,0.6,15.516778523489933,66.54761904761905
Best Tuned XGBoost,0.8502013422818792,0.5830415676104027,0.2958579881656805,0.23809523809523808,0.9279878971255673,0.2638522427440633,0.6807144433037966,0.24111963549602147,0.905521110126956,0.09073825503355705,12268,952,1280,400,0.65,9.073825503355705,76.19047619047619
Best Tuned XGBoost,0.871275167785235,0.5575066637850299,0.3413333333333333,0.1523809523809524,0.9626323751891074,0.21069958847736625,0.6807144433037966,0.24111963549602147,0.8993639575971731,0.050335570469798654,12726,494,1424,256,0.7,5.033557046979865,84.76190476190476
Best Tuned CatBoost,0.1159731543624161,0.5018154311649017,0.11311607864260706,1.0,0.003630862329803328,0.20324219695136705,0.678097714501837,0.23666481399432393,1.0,0.9967785234899329,48,13172,0,1680,0.2,99.67785234899328,0.0
Best Tuned CatBoost,0.12899328859060402,0.5081136085296448,0.11440273037542661,0.9976190476190476,0.01860816944024206,0.20526638089406002,0.678097714501837,0.23666481399432393,0.984,0.9832214765100671,246,12974,4,1676,0.25,98.3221476510067,0.23809523809523725
Best Tuned CatBoost,0.18543624161073827,0.5305687630574166,0.11938560093179006,0.9761904761904762,0.08494704992435703,0.21275215671012518,0.678097714501837,0.23666481399432393,0.9656061908856406,0.9219463087248322,1123,12097,40,1640,0.3,92.19463087248322,2.3809523809523836
Best Tuned CatBoost,0.304496644295302,0.568306948346661,0.13010138877055466,0.9089285714285714,0.22768532526475038,0.22762167399567712,0.678097714501837,0.23666481399432393,0.9516282010749288,0.7877181208053692,3010,10210,153,1527,0.35,78.77181208053692,9.107142857142858
Best Tuned CatBoost,0.4506711409395973,0.6067763489662128,0.14727253009434985,0.8083333333333333,0.4052193645990923,0.24915145399504632,0.678097714501837,0.23666481399432393,0.9432998767388625,0.6188590604026846,5357,7863,322,1358,0.4,61.88590604026846,19.166666666666664
Best Tuned CatBoost,0.5604697986577181,0.6234475181903321,0.16360370319193035,0.7047619047619048,0.5421331316187594,0.26556016597510373,0.678097714501837,0.23666481399432393,0.9352733916220801,0.48570469798657717,7167,6053,496,1184,0.45,48.57046979865772,29.52380952380952
Best Tuned CatBoost,0.6605369127516778,0.6304778113968734,0.18524040253447632,0.5916666666666667,0.6692889561270802,0.2821458983820607,0.678097714501837,0.23666481399432393,0.9280469897209985,0.36013422818791946,8848,4372,686,994,0.5,36.013422818791945,40.833333333333336
Best Tuned CatBoost,0.7491946308724832,0.6212061450904114,0.21342992477013095,0.45595238095238094,0.7864599092284418,0.29075725944201936,0.678097714501837,0.23666481399432393,0.9191937052426841,0.2408724832214765,10397,2823,914,766,0.55,24.08724832214765,54.40476190476191
Best Tuned CatBoost,0.8013422818791947,0.6046092680642605,0.23962571196094384,0.35059523809523807,0.8586232980332829,0.28467858869018847,0.678097714501837,0.23666481399432393,0.9123131329368269,0.16496644295302013,11351,1869,1091,589,0.6,16.496644295302012,64.94047619047619
Best Tuned CatBoost,0.8390604026845637,0.581179760103739,0.26868556701030927,0.24821428571428572,0.9141452344931922,0.25804455445544555,0.678097714501837,0.23666481399432393,0.9053790830086904,0.10416107382550335,12085,1135,1263,417,0.65,10.416107382550335,75.17857142857143
Best Tuned CatBoost,0.8677852348993289,0.5646328614653123,0.33371559633027525,0.1732142857142857,0.9560514372163389,0.2280564263322884,0.678097714501837,0.23666481399432393,0.90098374679213,0.058523489932885905,12639,581,1389,291,0.7,5.85234899328859,82.67857142857142
Best Tuned HistGradientBoosting,0.13684563758389262,0.5104603414739572,0.11489977268030585,0.9928571428571429,0.02806354009077156,0.20596406741989257,0.6759488239319933,0.23937431114560934,0.9686684073107049,0.9742953020134228,371,12849,12,1668,0.2,97.42953020134229,0.7142857142857117
Best Tuned HistGradientBoosting,0.1861744966442953,0.5304652042360061,0.11937035417577613,0.975,0.08593040847201211,0.21269964939618233,0.6759488239319933,0.23937431114560934,0.9643463497453311,0.9209395973154363,1136,12084,42,1638,0.25,92.09395973154363,2.500000000000002
Best Tuned HistGradientBoosting,0.25912751677852347,0.5523521360132555,0.1252502602706815,0.930952380952381,0.1737518910741301,0.2207948048281217,0.6759488239319933,0.23937431114560934,0.9519270617488603,0.8380536912751678,2297,10923,116,1564,0.3,83.80536912751678,6.904761904761902
Best Tuned HistGradientBoosting,0.35315436241610737,0.5793602766371299,0.1344846591952967,0.8714285714285714,0.2872919818456883,0.23300970873786409,0.6759488239319933,0.23937431114560934,0.9461883408071748,0.7306040268456376,3798,9422,216,1464,0.35,73.06040268456377,12.857142857142856
Best Tuned HistGradientBoosting,0.4502013422818792,0.6007960521576254,0.14547038327526132,0.7952380952380952,0.4063540090771558,0.24594992636229748,0.6759488239319933,0.23937431114560934,0.9398180545836249,0.6163758389261745,5372,7848,344,1336,0.4,61.63758389261746,20.47619047619048
Best Tuned HistGradientBoosting,0.5461073825503355,0.6239270405590376,0.16189969402687243,0.7244047619047619,0.5234493192133132,0.26465151679895615,0.6759488239319933,0.23937431114560934,0.9372883651632128,0.504496644295302,6920,6300,463,1217,0.45,50.4496644295302,27.55952380952381
Best Tuned HistGradientBoosting,0.6573825503355705,0.6287002017145739,0.18363199704415298,0.5916666666666667,0.665733736762481,0.2802763287748484,0.6759488239319933,0.23937431114560934,0.927690523874776,0.36328859060402685,8801,4419,686,994,0.5,36.328859060402685,40.833333333333336
Best Tuned HistGradientBoosting,0.7490604026845638,0.6156747532598517,0.20991828684136377,0.44345238095238093,0.7878971255673223,0.2849493210938994,0.6759488239319933,0.23937431114560934,0.9176284027838957,0.23818791946308726,10416,2804,935,745,0.55,23.818791946308725,55.654761904761905
Best Tuned HistGradientBoosting,0.8085906040268457,0.6034980368849507,0.24632034632034633,0.3386904761904762,0.8683055975794252,0.28521303258145364,0.6759488239319933,0.23937431114560934,0.9117553613979349,0.15503355704697985,11479,1741,1111,569,0.6,15.503355704697984,66.13095238095238
Best Tuned HistGradientBoosting,0.8504697986577181,0.576697914415388,0.2889060092449923,0.22321428571428573,0.9301815431164902,0.251846877098724,0.6759488239319933,0.23937431114560934,0.904058226731363,0.08711409395973155,12297,923,1305,375,0.65,8.711409395973154,77.67857142857143
Best Tuned HistGradientBoosting,0.8751677852348994,0.5547641560406311,0.3623853211009174,0.14107142857142857,0.9684568835098336,0.20308483290488433,0.6759488239319933,0.23937431114560934,0.8987084093780711,0.04389261744966443,12803,417,1443,237,0.7,4.3892617449664435,85.89285714285715
Best Imbalance-Focused Model,0.11275167785234899,0.5,0.11275167785234899,1.0,0.0,0.20265379975874548,0.6712971417765291,0.21361270901390828,0.0,1.0,0,13220,0,1680,0.2,100.0,0.0
Best Imbalance-Focused Model,0.11275167785234899,0.5,0.11275167785234899,1.0,0.0,0.20265379975874548,0.6712971417765291,0.21361270901390828,0.0,1.0,0,13220,0,1680,0.25,100.0,0.0
Best Imbalance-Focused Model,0.11322147651006711,0.5000049528131979,0.11275266939762273,0.9994047619047619,0.000605143721633888,0.2026431718061674,0.6712971417765291,0.21361270901390828,0.8888888888888888,0.9993959731543625,8,13212,1,1679,0.3,99.93959731543625,0.05952380952380931
Best Imbalance-Focused Model,0.16221476510067115,0.5218990886823716,0.11737621307643267,0.9863095238095239,0.057488653555219364,0.2097866683547509,0.6712971417765291,0.21361270901390828,0.9706257982120051,0.9474496644295302,760,12460,23,1657,0.35,94.74496644295301,1.3690476190476142
Best Imbalance-Focused Model,0.2928187919463087,0.5669219616742309,0.12944523470839261,0.9208333333333333,0.2130105900151286,0.22698261316117674,0.6712971417765291,0.21361270901390828,0.9548999660902001,0.8020805369127517,2816,10404,133,1547,0.4,80.20805369127517,7.916666666666671
Best Imbalance-Focused Model,0.4613422818791946,0.6091527987897125,0.1487713083905247,0.8,0.4183055975794251,0.25088669031174166,0.6712971417765291,0.21361270901390828,0.9427207637231504,0.6063087248322148,5530,7690,336,1344,0.45,60.630872483221474,19.999999999999996
