model,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc,negative_predictive_value,predicted_positive_rate,true_negatives,false_positives,false_negatives,true_positives,threshold,alerts_per_100_patients,missed_readmissions_per_100_actual_readmissions
Best Tuned XGBoost,0.6655704697986577,0.6314958396369138,0.1870380898237635,0.5875,0.6754916792738276,0.283742992669254,0.6807144433037966,0.24111963549602147,0.9279850358516055,0.3541610738255034,8930,4290,693,987,0.5,35.41610738255034,41.25
Best Tuned CatBoost,0.6605369127516778,0.6304778113968734,0.18524040253447632,0.5916666666666667,0.6692889561270802,0.2821458983820607,0.678097714501837,0.23666481399432393,0.9280469897209985,0.36013422818791946,8848,4372,686,994,0.5,36.013422818791945,40.833333333333336
Best Tuned HistGradientBoosting,0.6573825503355705,0.6287002017145739,0.18363199704415298,0.5916666666666667,0.665733736762481,0.2802763287748484,0.6759488239319933,0.23937431114560934,0.927690523874776,0.36328859060402685,8801,4419,686,994,0.5,36.328859060402685,40.833333333333336
Best Imbalance-Focused Model,0.6222147651006711,0.6270675743822491,0.1750863913115024,0.6333333333333333,0.6208018154311649,0.2743328606420008,0.6712971417765291,0.21361270901390828,0.9301824776153236,0.4078523489932886,8207,5013,616,1064,0.5,40.785234899328856,36.66666666666667
Best Tuned HistGradientBoosting,0.5461073825503355,0.6239270405590376,0.16189969402687243,0.7244047619047619,0.5234493192133132,0.26465151679895615,0.6759488239319933,0.23937431114560934,0.9372883651632128,0.504496644295302,6920,6300,463,1217,0.45,50.4496644295302,27.55952380952381
Best Tuned XGBoost,0.747248322147651,0.62348669044017,0.2137760702524698,0.4636904761904762,0.7832829046898638,0.2926371149511645,0.6807144433037966,0.24111963549602147,0.9199538024164889,0.24456375838926175,10355,2865,901,779,0.55,24.456375838926174,53.63095238095238
Best Tuned CatBoost,0.5604697986577181,0.6234475181903321,0.16360370319193035,0.7047619047619048,0.5421331316187594,0.26556016597510373,0.678097714501837,0.23666481399432393,0.9352733916220801,0.48570469798657717,7167,6053,496,1184,0.45,48.57046979865772,29.52380952380952
Best Tuned XGBoost,0.5669127516778524,0.6234412146098984,0.16448755799240827,0.6964285714285714,0.5504538577912255,0.2661207778915046,0.6807144433037966,0.24111963549602147,0.9345062283292668,0.4773825503355705,7277,5943,510,1170,0.45,47.738255033557046,30.35714285714286
Best Tuned CatBoost,0.7491946308724832,0.6212061450904114,0.21342992477013095,0.45595238095238094,0.7864599092284418,0.29075725944201936,0.678097714501837,0.23666481399432393,0.9191937052426841,0.2408724832214765,10397,2823,914,766,0.55,24.08724832214765,54.40476190476191
Best Tuned HistGradientBoosting,0.7490604026845638,0.6156747532598517,0.20991828684136377,0.44345238095238093,0.7878971255673223,0.2849493210938994,0.6759488239319933,0.23937431114560934,0.9176284027838957,0.23818791946308726,10416,2804,935,745,0.55,23.818791946308725,55.654761904761905
