rank,original_feature,total_importance,max_single_importance,number_transformed_features
1,discharge_disposition_id,0.17249987,0.047909528,17
2,medical_specialty_group,0.117198214,0.008707599,18
3,diag_1_group,0.06884277,0.011015472,10
4,diag_3_group,0.061927076,0.008119051,10
5,age,0.058985386,0.008920836,10
6,diag_2_group,0.056960594,0.010371447,10
7,number_inpatient,0.05236566,0.05236566,1
8,race,0.036142565,0.0069905436,6
9,glipizide,0.026611473,0.007973351,4
10,A1Cresult,0.026604714,0.007805282,4
11,metformin,0.02508879,0.0072997436,4
12,admission_type_group,0.024839934,0.0069359955,5
13,admission_source_group,0.024508098,0.007496351,5
14,glyburide,0.023043452,0.0059701786,4
15,max_glu_serum,0.022322427,0.008004066,4
16,insulin,0.022241108,0.0067990804,4
17,diabetesMed,0.019263336,0.009968553,2
18,pioglitazone,0.018507883,0.0072196885,4
19,glimepiride,0.01691864,0.0069546783,4
20,rosiglitazone,0.016731804,0.007423053,4
21,number_emergency,0.012451142,0.012451142,1
22,repaglinide,0.011896757,0.0051542134,4
23,gender,0.01127827,0.006303571,3
24,nateglinide,0.010562774,0.0065179067,4
25,acarbose,0.008939115,0.0047346256,3
26,change,0.008837811,0.0045372625,2
27,number_diagnoses,0.0087688295,0.0087688295,1
28,time_in_hospital,0.007122962,0.007122962,1
29,num_lab_procedures,0.006165904,0.006165904,1
30,number_outpatient,0.0060171615,0.0060171615,1
31,num_procedures,0.0060136765,0.0060136765,1
32,num_medications,0.0057461727,0.0057461727,1
33,glyburide-metformin,0.0045956313,0.0045956313,3
34,chlorpropamide,0.0,0.0,3
35,acetohexamide,0.0,0.0,2
36,miglitol,0.0,0.0,3
37,metformin-rosiglitazone,0.0,0.0,2
38,metformin-pioglitazone,0.0,0.0,2
39,glipizide-metformin,0.0,0.0,2
40,glimepiride-pioglitazone,0.0,0.0,2
41,tolazamide,0.0,0.0,3
42,tolbutamide,0.0,0.0,2
43,troglitazone,0.0,0.0,2
