feature,shap_value,absolute_shap_value,original_feature
numeric__number_inpatient,1.7760133,1.7760133,number_inpatient
categorical__discharge_disposition_id_2,0.61294,0.61294,discharge_disposition_id
categorical__discharge_disposition_id_9,0.3307277,0.3307277,discharge_disposition_id
categorical__diag_2_group_Neoplasms,0.27492628,0.27492628,diag_2_group
categorical__medical_specialty_group_ObstetricsandGynecology,-0.25592932,0.25592932,medical_specialty_group
categorical__discharge_disposition_id_6,-0.24769564,0.24769564,discharge_disposition_id
categorical__acarbose_Steady,-0.22935115,0.22935115,acarbose
categorical__glyburide_Down,-0.22521687,0.22521687,glyburide
categorical__medical_specialty_group_Surgery-Cardiovascular/Thoracic,-0.19007187,0.19007187,medical_specialty_group
categorical__discharge_disposition_id_22,0.18625899,0.18625899,discharge_disposition_id
categorical__medical_specialty_group_Cardiology,-0.17123951,0.17123951,medical_specialty_group
categorical__diag_1_group_Diabetes,0.16052781,0.16052781,diag_1_group
categorical__medical_specialty_group_Orthopedics-Reconstructive,-0.1552911,0.1552911,medical_specialty_group
categorical__diag_1_group_Respiratory,-0.15138182,0.15138182,diag_1_group
categorical__diag_1_group_Musculoskeletal,-0.14727676,0.14727676,diag_1_group
categorical__discharge_disposition_id_5,0.14492251,0.14492251,discharge_disposition_id
categorical__medical_specialty_group_Psychiatry,0.14144075,0.14144075,medical_specialty_group
categorical__diag_3_group_Circulatory,-0.14017816,0.14017816,diag_3_group
categorical__race_Unknown,-0.13819519,0.13819519,race
categorical__discharge_disposition_id_4,0.12927379,0.12927379,discharge_disposition_id
categorical__age_[50-60),-0.12438774,0.12438774,age
categorical__discharge_disposition_id_23,-0.12258162,0.12258162,discharge_disposition_id
categorical__age_[90-100),0.117283605,0.117283605,age
categorical__discharge_disposition_id_1,-0.1163254,0.1163254,discharge_disposition_id
categorical__diag_3_group_Diabetes,0.11065602,0.11065602,diag_3_group
categorical__diag_1_group_Injury,-0.10109805,0.10109805,diag_1_group
categorical__diabetesMed_No,-0.098221675,0.098221675,diabetesMed
categorical__diag_2_group_Circulatory,-0.086839736,0.086839736,diag_2_group
categorical__discharge_disposition_id_15,-0.08597117,0.08597117,discharge_disposition_id
categorical__medical_specialty_group_Emergency/Trauma,-0.08214873,0.08214873,medical_specialty_group
categorical__A1Cresult_>8,-0.07981531,0.07981531,A1Cresult
