feature,shap_value,absolute_shap_value,original_feature
numeric__number_inpatient,1.7682171,1.7682171,number_inpatient
categorical__discharge_disposition_id_2,0.6210254,0.6210254,discharge_disposition_id
categorical__discharge_disposition_id_9,0.32055044,0.32055044,discharge_disposition_id
categorical__medical_specialty_group_ObstetricsandGynecology,-0.27266848,0.27266848,medical_specialty_group
categorical__discharge_disposition_id_6,-0.25153717,0.25153717,discharge_disposition_id
categorical__acarbose_Steady,-0.2478225,0.2478225,acarbose
categorical__diag_2_group_Neoplasms,0.23759848,0.23759848,diag_2_group
categorical__glyburide_Down,-0.2186792,0.2186792,glyburide
categorical__medical_specialty_group_Surgery-Cardiovascular/Thoracic,-0.19391736,0.19391736,medical_specialty_group
categorical__discharge_disposition_id_22,0.18446746,0.18446746,discharge_disposition_id
categorical__medical_specialty_group_Cardiology,-0.17500219,0.17500219,medical_specialty_group
categorical__medical_specialty_group_Orthopedics-Reconstructive,-0.15048186,0.15048186,medical_specialty_group
categorical__discharge_disposition_id_4,0.14883396,0.14883396,discharge_disposition_id
categorical__discharge_disposition_id_23,-0.14746098,0.14746098,discharge_disposition_id
categorical__diag_1_group_Diabetes,0.14583758,0.14583758,diag_1_group
categorical__age_[90-100),0.14318822,0.14318822,age
categorical__medical_specialty_group_Psychiatry,0.13482833,0.13482833,medical_specialty_group
categorical__diag_3_group_Diabetes,0.13054445,0.13054445,diag_3_group
categorical__race_Unknown,-0.12991998,0.12991998,race
categorical__diag_1_group_Musculoskeletal,-0.1280798,0.1280798,diag_1_group
categorical__diag_3_group_Circulatory,-0.124558,0.124558,diag_3_group
categorical__diag_1_group_Respiratory,-0.12290974,0.12290974,diag_1_group
categorical__age_[50-60),-0.1216833,0.1216833,age
numeric__number_emergency,0.11852434,0.11852434,number_emergency
categorical__discharge_disposition_id_1,-0.106768236,0.106768236,discharge_disposition_id
categorical__discharge_disposition_id_5,0.10675085,0.10675085,discharge_disposition_id
categorical__diag_1_group_Injury,-0.09782154,0.09782154,diag_1_group
categorical__diabetesMed_No,-0.0936459,0.0936459,diabetesMed
categorical__A1Cresult_>7,-0.09306891,0.09306891,A1Cresult
categorical__diag_3_group_Other,-0.09026537,0.09026537,diag_3_group
categorical__admission_type_group_Unknown,-0.08346745,0.08346745,admission_type_group
categorical__discharge_disposition_id_15,-0.082008585,0.082008585,discharge_disposition_id
categorical__A1Cresult_>8,-0.0794946,0.0794946,A1Cresult
