rank,feature,mean_absolute_shap,mean_shap
1,categorical__discharge_disposition_id_2,0.599496,0.599496
2,categorical__discharge_disposition_id_9,0.36649522,0.36649522
3,categorical__discharge_disposition_id_6,0.35286534,-0.35286534
4,categorical__diag_2_group_Neoplasms,0.31750828,0.31750828
5,numeric__number_inpatient,0.29954582,-0.07004651
6,categorical__discharge_disposition_id_5,0.29737312,0.29737312
7,categorical__medical_specialty_group_ObstetricsandGynecology,0.25995293,-0.25995293
8,categorical__discharge_disposition_id_22,0.22948405,0.22948405
9,categorical__discharge_disposition_id_1,0.22295155,-0.22295155
10,categorical__medical_specialty_group_Surgery-Cardiovascular/Thoracic,0.21767236,-0.21767236
11,categorical__acarbose_Steady,0.21710077,-0.21710077
12,categorical__medical_specialty_group_Cardiology,0.20616372,-0.20616372
13,categorical__glyburide_Down,0.19319347,-0.19319347
14,categorical__diag_1_group_Respiratory,0.17547642,-0.17547642
15,categorical__diabetesMed_No,0.16854224,-0.16854224
16,categorical__medical_specialty_group_Psychiatry,0.16118899,0.16118899
17,categorical__diag_1_group_Diabetes,0.15546095,0.15546095
18,categorical__age_[90-100),0.13348469,0.13348469
19,categorical__diag_1_group_Musculoskeletal,0.13173816,-0.13173816
20,categorical__medical_specialty_group_Emergency/Trauma,0.12850209,-0.12850209
21,categorical__discharge_disposition_id_4,0.12698482,0.12698482
22,categorical__diag_1_group_Other,0.12519354,0.12519354
23,categorical__medical_specialty_group_Orthopedics-Reconstructive,0.12347991,-0.12347991
24,categorical__race_Unknown,0.11892003,-0.11892003
25,categorical__age_[50-60),0.117489256,-0.117489256
26,categorical__diag_3_group_Diabetes,0.11715868,0.11715868
27,categorical__diag_3_group_Circulatory,0.10216277,-0.10216277
28,categorical__discharge_disposition_id_23,0.09835682,-0.09835682
29,categorical__admission_type_group_Urgent,0.09501961,-0.09501961
30,categorical__glipizide_Down,0.08778716,0.08778716
31,categorical__A1Cresult_>8,0.08074484,-0.08074484
32,categorical__insulin_Down,0.07983867,0.07982954
33,categorical__medical_specialty_group_Surgery-Vascular,0.07834445,0.07834445
34,numeric__num_medications,0.07770598,-0.04043896
35,categorical__admission_type_group_Unknown,0.076458655,-0.076458655
36,categorical__medical_specialty_group_Gastroenterology,0.07499814,0.07499814
37,categorical__medical_specialty_group_Family/GeneralPractice,0.07448388,0.07448388
38,categorical__age_[40-50),0.0716684,-0.07045912
39,numeric__num_lab_procedures,0.070386514,-0.053905528
40,categorical__medical_specialty_group_InternalMedicine,0.06870668,-0.06870668
41,categorical__diag_2_group_Circulatory,0.06831381,-0.06831381
42,categorical__diag_3_group_Respiratory,0.06773146,0.06762213
43,categorical__A1Cresult_>7,0.0674304,-0.0674304
44,categorical__diag_1_group_Injury,0.0662221,-0.0662221
45,categorical__medical_specialty_group_Nephrology,0.06576108,0.06576108
46,categorical__discharge_disposition_id_8,0.06471356,-0.06471356
47,categorical__diag_2_group_Diabetes,0.06294375,0.062930375
48,categorical__diag_3_group_Other,0.059497256,-0.059497256
49,categorical__age_[10-20),0.05530563,-0.05530563
50,categorical__max_glu_serum_>300,0.05383791,0.05378657
51,categorical__race_Asian,0.05271876,0.05271876
52,categorical__medical_specialty_group_Orthopedics,0.05250909,-0.05250909
53,categorical__diag_1_group_Neoplasms,0.052457504,0.052456383
54,categorical__race_Hispanic,0.04869035,-0.04869035
55,categorical__pioglitazone_Down,0.048403367,0.048403367
56,numeric__time_in_hospital,0.047838785,-0.0077825235
57,categorical__glimepiride_Steady,0.044641726,-0.044641726
58,categorical__diag_3_group_Genitourinary,0.041866448,0.041852605
59,categorical__race_AfricanAmerican,0.040962946,0.040962946
60,categorical__diag_1_group_Circulatory,0.040880885,0.02408878
61,categorical__diag_3_group_Unknown,0.04034713,-0.030028561
62,categorical__glyburide_Up,0.03891862,-0.03891647
